Entry	Length	Protein families	Keywords
P01443	81	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Hemolysis;Membrane;Protein kinase inhibitor;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P01445	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01446	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Glycoprotein;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01447	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Reference proteome;Secreted;Target cell membrane;Target membrane;Toxin
P01448	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01451	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01452	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01453	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01454	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01455	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01456	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01457	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01458	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01459	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01460	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01461	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01462	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01463	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01464	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01465	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01466	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01467	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01468	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Hemolysis;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01469	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01470	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01471	61	Three-finger toxin family, Short-chain subfamily, Type IB cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Hemolysis;Hypotensive agent;Secreted;Toxin
P01473	61	Three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily	Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01474	61	Three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily	Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01476	42	Crotamine-myotoxin family	Antimicrobial;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Myotoxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P01477	70	Crotamine-myotoxin family	Antimicrobial;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Myotoxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P01478	42	Neurotoxin 06 (delta-actx) family	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01479	83	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01480	84	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01481	64	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01482	64	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01483	65	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01484	85	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01485	72	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01486	65	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01487	64	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01488	65	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01489	65	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01490	65	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P01491	86	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01492	87	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01493	87	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01494	87	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01495	84	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01496	86	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;G-protein coupled acetylcholine receptor impairing toxin;G-protein coupled receptor impairing toxin;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01497	88	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01498	35	Short scorpion toxin superfamily, Chloride channel inhibitor family	Chloride channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Toxin;Voltage-gated chloride channel impairing toxin
P01499	50		Amidation;Direct protein sequencing;Disulfide bond;Formylation;Ion channel impairing toxin;Mast cell degranulation;Neurotoxin;Potassium channel impairing toxin;Reference proteome;Secreted;Signal;Toxin
P01500	46		3D-structure;Amidation;Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Reference proteome;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P01501	70	Melittin family	3D-structure;Allergen;Amidation;Antimicrobial;Cytolysis;Direct protein sequencing;Formylation;Hemolysis;Ion transport;Membrane;Pharmaceutical;Porin;Reference proteome;Secreted;Signal;Target cell membrane;Target membrane;Toxin;Transmembrane;Transport
P01502	26	Melittin family	Amidation;Antimicrobial;Cytolysis;Direct protein sequencing;Formylation;Hemolysis;Ion transport;Membrane;Porin;Secreted;Target cell membrane;Target membrane;Toxin;Transmembrane;Transport
P01504	26	Melittin family	Amidation;Antimicrobial;Cytolysis;Direct protein sequencing;Formylation;Hemolysis;Ion transport;Membrane;Porin;Secreted;Target cell membrane;Target membrane;Toxin;Transmembrane;Transport
P01514	14	MCD family, Mastoparan subfamily	3D-structure;Amidation;Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01515	14	MCD family, Mastoparan subfamily	3D-structure;Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01516	14	MCD family, Mastoparan subfamily	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Mast cell degranulation;Secreted;Toxin
P01517	14	MCD family, Mastoparan subfamily	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Mast cell degranulation;Secreted;Toxin
P01518	13	MCD family, Crabrolin subfamily	3D-structure;Amidation;Antibiotic;Antimicrobial;Chemotaxis;Direct protein sequencing;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P01520	13	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P01521	14	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P01522	73	Conotoxin O1 superfamily	3D-structure;Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Neurotoxin;Presynaptic neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P01523	75	Conotoxin M superfamily	3D-structure;Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P01524	22	Conotoxin M superfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P02852	77	Secapin family	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Fungicide;Hemostasis impairing toxin;Immunity;Innate immunity;Protease inhibitor;Reference proteome;Secreted;Serine protease inhibitor;Signal;Toxin
P04084	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P04097	24	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P04098	36	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P04099	70	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P04203	38	Glucagon family	Direct protein sequencing;G-protein coupled receptor impairing toxin;Glycoprotein;Hypotensive agent;Secreted;Toxin
P04204	84	Glucagon family	Cleavage on pair of basic residues;Direct protein sequencing;G-protein coupled receptor impairing toxin;Hypotensive agent;Secreted;Signal;Toxin
P04205	60	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Repeat;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P04361	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P04417	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Neurotoxin;Presynaptic neurotoxin;Secreted;Toxin
P04562	11	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P04971	255	Peptidase S1 family, Snake venom subfamily	Blood coagulation cascade activating toxin;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Pharmaceutical;Protease;Secreted;Serine protease;Signal;Toxin;Zymogen
P05482	22	Conotoxin M superfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P05483	29		Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Neurotoxin;Presynaptic neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P05484	71	Conotoxin O1 superfamily	3D-structure;Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Pharmaceutical;Presynaptic neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P05485	25	Conotoxin O1 superfamily	Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Presynaptic neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P05486	128	Vasopressin/oxytocin family	Amidation;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Signal;Toxin
P05487	9	Vasopressin/oxytocin family	Amidation;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Toxin
P05620	260	Peptidase S1 family, Snake venom subfamily	Blood coagulation cascade activating toxin;Complement system impairing toxin;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Platelet aggregation inhibiting toxin;Protease;Secreted;Serine protease;Signal;Toxin;Zymogen
P06859	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Myotoxin;Secreted;Signal;Toxin
P06860	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Secreted;Toxin
P07231	100	Conotoxin B superfamily	3D-structure;Amidation;Calcium;Cleavage on pair of basic residues;Direct protein sequencing;Gamma-carboxyglutamic acid;Ion channel impairing toxin;Ionotropic glutamate receptor inhibitor;Magnesium;Metal-binding;Neurotoxin;Pharmaceutical;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P07493	17	MCD family, Bombolitin subfamily	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Mast cell degranulation;Secreted;Toxin
P07494	17	MCD family, Bombolitin subfamily	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Mast cell degranulation;Secreted;Toxin
P07495	17	MCD family, Bombolitin subfamily	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Mast cell degranulation;Secreted;Toxin
P07496	17	MCD family, Bombolitin subfamily	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Mast cell degranulation;Secreted;Toxin
P07525	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	3D-structure;Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Hemolysis;Ion channel impairing toxin;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P07526	73	Three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P08815	39	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	3D-structure;Amidation;Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P08878	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Neurotoxin;Pharmaceutical;Presynaptic neurotoxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P08900	66	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P09872	231	Peptidase S1 family, Snake venom subfamily	3D-structure;Blood coagulation cascade inhibiting toxin;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Protease;Secreted;Serine protease;Toxin
P09981	66	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P09982	66	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C022	14	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Neurotoxin;Postsynaptic neurotoxin;Secreted;Target cell membrane;Target membrane;Toxin
P0C023	23	Formicidae venom precursor-01 superfamily, Ant pilosulin family	Allergen;Amidation;Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Disulfide bond;Hemolysis;Secreted;Toxin
P0C161	39	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C162	39	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C163	38	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C164	39	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C165	39	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C166	35	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Pyrrolidone carboxylic acid;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C167	37	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 01 subfamily	Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin
P0C168	40	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 12 subfamily	Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin
P0C173	36	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 16 subfamily	Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin
P0C174	72	Short scorpion toxin superfamily, Potassium channel inhibitor family, Epsilon-KTx 01 subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0C175	68	Short scorpion toxin superfamily, Potassium channel inhibitor family, Epsilon-KTx 01 subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0C176	68	Short scorpion toxin superfamily, Potassium channel inhibitor family, Epsilon-KTx 01 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0C182	37	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 01 subfamily	Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin
P0C183	29	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 20 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C185	40	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 12 subfamily	Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin
P0C194	63	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0C195	22	Conotoxin M superfamily	3D-structure;Amidation;Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1B5	58	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
