Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O55162	reviewed	LYPD3_RAT	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A)	Lypd3 C4.4a	Rattus norvegicus (Rat)	352
O55183	reviewed	STC1_MOUSE	Stanniocalcin-1 (STC-1)	Stc1 Stc	Mus musculus (Mouse)	247
O55186	reviewed	CD59A_MOUSE	CD59A glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59)	Cd59a Cd59	Mus musculus (Mouse)	123
O55188	reviewed	DMP1_MOUSE	Dentin matrix acidic phosphoprotein 1 (DMP-1) (Dentin matrix protein 1) (AG1)	Dmp1 Dmp	Mus musculus (Mouse)	503
O55225	reviewed	OTOG_MOUSE	Otogelin	Otog Otgn	Mus musculus (Mouse)	2911
O55232	reviewed	OREX_RAT	Hypocretin neuropeptide precursor (Hypocretin) (Hcrt) (Orexin precursor) (Prepro-orexin) (Preprohypocretin) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	Hcrt Ox Ppox	Rattus norvegicus (Rat)	130
O55233	reviewed	CER1_MOUSE	Cerberus (Cerberus-like protein) (Cer-l) (Cerberus-related protein)	Cer1 Cerl Cerr1	Mus musculus (Mouse)	272
O55241	reviewed	OREX_MOUSE	Hypocretin neuropeptide precursor (Hypocretin) (Hcrt) (Orexin precursor) (Prepro-orexin) (Preprohypocretin) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	Hcrt Ox Ppox	Mus musculus (Mouse)	130
O55245	reviewed	TTHY_CROPO	Transthyretin (crocTTR) (Prealbumin)	TTR	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	150
O57341	reviewed	FGF8A_DANRE	Fibroblast growth factor 8 (FGF-8)	fgf8a fgf-8 fgf8	Danio rerio (Zebrafish) (Brachydanio rerio)	210
O57385	reviewed	PA2H_DEIAC	Basic phospholipase A2 homolog acutohaemolysin (svPLA2 homolog) (Dac-K49)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	138
O57413	reviewed	VM2T3_PROMU	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase TM-3 (SVMP) (EC 3.4.24.-) (Atrolysin e) (Fibrinlysin) (Trimutase); Disintegrin trimucrin]		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	481
O57460	reviewed	TLL1_DANRE	Dorsal-ventral patterning tolloid-like protein 1 (EC 3.4.24.-) (Mini fin protein)	tll1 mfn tld tolloid	Danio rerio (Zebrafish) (Brachydanio rerio)	1022
O57472	reviewed	CHRD_DANRE	Chordin (Protein chordino)	chd chrd	Danio rerio (Zebrafish) (Brachydanio rerio)	940
O57604	reviewed	PODXL_CHICK	Podocalyxin (Podocalyxin-like protein 1) (PC) (PCLP-1) (Thrombomucin)	PODXL MEP21 PCLP PCLP1	Gallus gallus (Chicken)	571
O60241	reviewed	AGRB2_HUMAN	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	Homo sapiens (Human)	1585
O60242	reviewed	AGRB3_HUMAN	Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)	ADGRB3 BAI3 KIAA0550	Homo sapiens (Human)	1522
O60245	reviewed	PCDH7_HUMAN	Protocadherin-7 (Brain-heart protocadherin) (BH-Pcdh)	PCDH7 BHPCDH	Homo sapiens (Human)	1069
O60258	reviewed	FGF17_HUMAN	Fibroblast growth factor 17 (FGF-17)	FGF17 UNQ161/PRO187	Homo sapiens (Human)	216
O60259	reviewed	KLK8_HUMAN	Kallikrein-8 (hK8) (EC 3.4.21.118) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein)	KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322	Homo sapiens (Human)	260
O60353	reviewed	FZD6_HUMAN	Frizzled-6 (Fz-6) (hFz6)	FZD6	Homo sapiens (Human)	706
O60383	reviewed	GDF9_HUMAN	Growth/differentiation factor 9 (GDF-9)	GDF9	Homo sapiens (Human)	454
O60391	reviewed	NMD3B_HUMAN	Glutamate receptor ionotropic, NMDA 3B (GluN3B) (N-methyl-D-aspartate receptor subtype 3B) (NMDAR3B) (NR3B)	GRIN3B	Homo sapiens (Human)	1043
O60449	reviewed	LY75_HUMAN	Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205)	LY75 CD205 CLEC13B	Homo sapiens (Human)	1722
O60462	reviewed	NRP2_HUMAN	Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2)	NRP2 VEGF165R2	Homo sapiens (Human)	931
O60469	reviewed	DSCAM_HUMAN	Cell adhesion molecule DSCAM (CHD2) (Down syndrome cell adhesion molecule)	DSCAM	Homo sapiens (Human)	2012
O60477	reviewed	BRNP1_HUMAN	BMP/retinoic acid-inducible neural-specific protein 1 (Deleted in bladder cancer protein 1)	BRINP1 DBC1 DBCCR1 FAM5A IB3089A	Homo sapiens (Human)	761
O60486	reviewed	PLXC1_HUMAN	Plexin-C1 (Virus-encoded semaphorin protein receptor) (CD antigen CD232)	PLXNC1 VESPR	Homo sapiens (Human)	1568
O60487	reviewed	MPZL2_HUMAN	Myelin protein zero-like protein 2 (Epithelial V-like antigen 1)	MPZL2 EVA EVA1 UNQ606/PRO1192	Homo sapiens (Human)	215
O60494	reviewed	CUBN_HUMAN	Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor)	CUBN IFCR	Homo sapiens (Human)	3623
O60500	reviewed	NPHN_HUMAN	Nephrin (Renal glomerulus-specific cell adhesion receptor)	NPHS1 NPHN	Homo sapiens (Human)	1241
O60565	reviewed	GREM1_HUMAN	Gremlin-1 (Cell proliferation-inducing gene 2 protein) (Cysteine knot superfamily 1, BMP antagonist 1) (DAN domain family member 2) (Down-regulated in Mos-transformed cells protein) (Increased in high glucose protein 2) (IHG-2)	GREM1 CKTSF1B1 DAND2 DRM PIG2	Homo sapiens (Human)	184
O60568	reviewed	PLOD3_HUMAN	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]	PLOD3	Homo sapiens (Human)	738
O60602	reviewed	TLR5_HUMAN	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	TLR5 TIL3	Homo sapiens (Human)	858
O60603	reviewed	TLR2_HUMAN	Toll-like receptor 2 (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282)	TLR2 TIL4	Homo sapiens (Human)	784
O60609	reviewed	GFRA3_HUMAN	GDNF family receptor alpha-3 (GDNF receptor alpha-3) (GDNFR-alpha-3) (GFR-alpha-3)	GFRA3 UNQ339/PRO538/PRO3664	Homo sapiens (Human)	400
O60613	reviewed	SEP15_HUMAN	Selenoprotein F (15 kDa selenoprotein)	SELENOF SEP15	Homo sapiens (Human)	165
O60656	reviewed	UD19_HUMAN	UDP-glucuronosyltransferase 1A9 (UGT1A9) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-9) (UDPGT 1-9) (UGT1*9) (UGT1-09) (UGT1.9) (UDP-glucuronosyltransferase 1-I) (UGT-1I) (UGT1I) (lugP4)	UGT1A9 GNT1 UGT1	Homo sapiens (Human)	530
O60667	reviewed	FCMR_HUMAN	Immunoglobulin mu Fc receptor (IgM FcR) (Fas apoptotic inhibitory molecule 3) (FAIM3) (Regulator of Fas-induced apoptosis Toso)	FCMR FAIM3 TOSO	Homo sapiens (Human)	390
O60687	reviewed	SRPX2_HUMAN	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)	SRPX2 SRPUL	Homo sapiens (Human)	465
O60721	reviewed	NCKX1_HUMAN	Sodium/potassium/calcium exchanger 1 (Na(+)/K(+)/Ca(2+)-exchange protein 1) (Retinal rod Na-Ca+K exchanger) (Solute carrier family 24 member 1)	SLC24A1 KIAA0702 NCKX1	Homo sapiens (Human)	1099
O60844	reviewed	ZG16_HUMAN	Zymogen granule membrane protein 16 (Zymogen granule protein 16) (hZG16) (Secretory lectin ZG16)	ZG16	Homo sapiens (Human)	167
O60882	reviewed	MMP20_HUMAN	Matrix metalloproteinase-20 (MMP-20) (EC 3.4.24.-) (Enamel metalloproteinase) (Enamelysin)	MMP20	Homo sapiens (Human)	483
O60883	reviewed	G37L1_HUMAN	G protein-coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)	GPR37L1 ETBRLP2	Homo sapiens (Human)	481
O60888	reviewed	CUTA_HUMAN	Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor)	CUTA ACHAP C6orf82	Homo sapiens (Human)	179
O60894	reviewed	RAMP1_HUMAN	Receptor activity-modifying protein 1 (Calcitonin-receptor-like receptor activity-modifying protein 1) (CRLR activity-modifying protein 1)	RAMP1	Homo sapiens (Human)	148
O60895	reviewed	RAMP2_HUMAN	Receptor activity-modifying protein 2 (Calcitonin-receptor-like receptor activity-modifying protein 2) (CRLR activity-modifying protein 2)	RAMP2	Homo sapiens (Human)	175
O60896	reviewed	RAMP3_HUMAN	Receptor activity-modifying protein 3 (Calcitonin-receptor-like receptor activity-modifying protein 3) (CRLR activity-modifying protein 3)	RAMP3	Homo sapiens (Human)	148
O60911	reviewed	CATL2_HUMAN	Cathepsin L2 (EC 3.4.22.43) (Cathepsin U) (Cathepsin V)	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305	Homo sapiens (Human)	334
O60931	reviewed	CTNS_HUMAN	Cystinosin	CTNS	Homo sapiens (Human)	367
O60938	reviewed	KERA_HUMAN	Keratocan (KTN) (Keratan sulfate proteoglycan keratocan)	KERA SLRR2B	Homo sapiens (Human)	352
O60939	reviewed	SCN2B_HUMAN	Sodium channel regulatory subunit beta-2	SCN2B UNQ326/PRO386	Homo sapiens (Human)	215
O61213	reviewed	DUOX1_CAEEL	Dual oxidase 1 (DUOX1) (EC 1.11.1.-) (EC 1.6.3.1) (Blistered cuticle protein 3) (NADPH thyroid oxidase 1)	bli-3 F56C11.1	Caenorhabditis elegans	1497
O61460	reviewed	VAB1_CAEEL	Ephrin receptor 1 (EC 2.7.10.1) (Tyrosine-protein kinase Eph receptor) (Variable abnormal protein 1)	vab-1 M03A1.1	Caenorhabditis elegans	1117
O61643	reviewed	INHB_DROME	Inhibin beta chain (Activin beta chain) (dAct) (dActivin)	Actbeta activin-beta CG11062	Drosophila melanogaster (Fruit fly)	946
O61668	reviewed	SIX1_OLIMR	Beta-insect excitatory toxin BmKIT1 (Bm32-VI) (BmK IT1) (BmK IT) (BmKIT) (BmK-betaIT)		Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	88
O61705	reviewed	SCXA_OLIMR	Neurotoxin BmK-M10 (Alpha-neurotoxin TX9) (BmK AngM1) (BmK-X) (BmKX) (BmK10) (BmKalphaTx9) (Bmk M10) (BmkM10) (Neurotoxin M10)		Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	84
O61866	reviewed	LIPL5_CAEEL	Lipase lipl-5 (EC 3.1.1.-) (Lipase-like 5)	lipl-5 ZK6.7	Caenorhabditis elegans	403
O62247	reviewed	BLI5_CAEEL	Kunitz-type protein bli-5 (Blistered cuticle protein 5) (Kunitz-type protease inhibitor bli-5)	bli-5 F45G2.5	Caenorhabditis elegans	202
O62415	reviewed	LYS1_CAEEL	Lysozyme-like protein 1	lys-1 Y22F5A.4	Caenorhabditis elegans	298
O62589	reviewed	GD_DROME	Serine protease gd (EC 3.4.21.-) (Protein gastrulation defective)	gd CG1505	Drosophila melanogaster (Fruit fly)	531
O62643	reviewed	THY1_MACMU	Thy-1 membrane glycoprotein (Thy-1 antigen) (CD antigen CD90)	THY1	Macaca mulatta (Rhesus macaque)	161
O62664	reviewed	PGH1_BOVIN	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX-1 COX1	Bos taurus (Bovine)	600
O62680	reviewed	CD59_PIG	CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59)	CD59	Sus scrofa (Pig)	123
O62698	reviewed	PGH2_BOVIN	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Bos taurus (Bovine)	604
O62714	reviewed	CASR_PIG	Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1)	CASR PCAR1	Sus scrofa (Pig)	1079
O62725	reviewed	PGH2_NEOVI	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Neogale vison (American mink) (Mustela vison)	604
O62763	reviewed	ACES_FELCA	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Felis catus (Cat) (Felis silvestris catus)	611
O62806	reviewed	MMP13_RABIT	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	MMP13	Oryctolagus cuniculus (Rabbit)	471
O70138	reviewed	MMP8_MOUSE	Neutrophil collagenase (EC 3.4.24.34) (Collagenase 2) (Matrix metalloproteinase-8) (MMP-8)	Mmp8	Mus musculus (Mouse)	465
O70165	reviewed	FCN1_MOUSE	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	Fcn1 Fcna	Mus musculus (Mouse)	334
O70174	reviewed	ACHA4_MOUSE	Neuronal acetylcholine receptor subunit alpha-4	Chrna4 Acra4	Mus musculus (Mouse)	629
O70176	reviewed	PACA_MOUSE	Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)]	Adcyap1 Pacap	Mus musculus (Mouse)	175
O70212	reviewed	5HT3A_CAVPO	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	HTR3A 5HT3R HTR3	Cavia porcellus (Guinea pig)	490
O70244	reviewed	CUBN_RAT	Cubilin (460 kDa receptor) (Glycoprotein 280) (gp280) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor)	Cubn Ifcr	Rattus norvegicus (Rat)	3623
O70255	reviewed	MPZL2_MOUSE	Myelin protein zero-like protein 2 (Epithelial V-like antigen 1)	Mpzl2 Eva Eva1	Mus musculus (Mouse)	215
O70283	reviewed	WNT2B_MOUSE	Protein Wnt-2b (Protein Wnt-13)	Wnt2b Wnt13	Mus musculus (Mouse)	389
O70309	reviewed	ITB5_MOUSE	Integrin beta-5	Itgb5	Mus musculus (Mouse)	798
O70320	reviewed	PLB1_CAVPO	Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	PLB1 PLB	Cavia porcellus (Guinea pig)	1463
O70326	reviewed	GREM1_MOUSE	Gremlin-1 (Cysteine knot superfamily 1, BMP antagonist 1) (Down-regulated in Mos-transformed cells protein)	Grem1 Cktsf1b1 Drm	Mus musculus (Mouse)	184
O70362	reviewed	PHLD_MOUSE	Phosphatidylinositol-glycan-specific phospholipase D (PI-G PLD) (EC 3.1.4.50) (Glycoprotein phospholipase D) (Glycosyl-phosphatidylinositol-specific phospholipase D) (GPI-PLD) (GPI-specific phospholipase D)	Gpld1	Mus musculus (Mouse)	837
O70370	reviewed	CATS_MOUSE	Cathepsin S (EC 3.4.22.27)	Ctss Cats	Mus musculus (Mouse)	340
O70394	reviewed	I27RA_MOUSE	Interleukin-27 receptor subunit alpha (IL-27 receptor subunit alpha) (IL-27R subunit alpha) (IL-27R-alpha) (IL-27RA) (Type I T-cell cytokine receptor) (TCCR) (WSX-1)	Il27ra Tccr Wsx1	Mus musculus (Mouse)	623
O70421	reviewed	FZD1_MOUSE	Frizzled-1 (Fz-1) (mFz1)	Fzd1	Mus musculus (Mouse)	642
O70458	reviewed	OSMR_MOUSE	Oncostatin-M-specific receptor subunit beta (Interleukin-31 receptor subunit beta) (IL-31 receptor subunit beta) (IL-31R subunit beta) (IL-31R-beta) (IL-31RB)	Osmr Osmrb	Mus musculus (Mouse)	971
O70460	reviewed	CCL19_MOUSE	C-C motif chemokine 19 (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Small-inducible cytokine A19)	Ccl19 Elc Scya19	Mus musculus (Mouse)	108
O70497	reviewed	FCN2_MOUSE	Ficolin-2 (Collagen/fibrinogen domain-containing protein 2) (Ficolin-B) (Ficolin-beta) (L-ficolin)	Fcn2 Fcnb	Mus musculus (Mouse)	314
O70514	reviewed	FGFP1_MOUSE	Fibroblast growth factor-binding protein 1 (FGF-BP) (FGF-BP1) (FGF-binding protein 1) (FGFBP-1)	Fgfbp1	Mus musculus (Mouse)	251
O70534	reviewed	DLK1_RAT	Protein delta homolog 1 (DLK-1) (Preadipocyte factor 1) (Pref-1) [Cleaved into: Fetal antigen 1 (FA1)]	Dlk1 Dlk Pref1 Zog	Rattus norvegicus (Rat)	383
O70535	reviewed	LIFR_RAT	Leukemia inhibitory factor receptor (LIF receptor) (LIF-R) (CD antigen CD118)	Lifr	Rattus norvegicus (Rat)	1093
O70570	reviewed	PIGR_MOUSE	Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) [Cleaved into: Secretory component]	Pigr	Mus musculus (Mouse)	771
O70624	reviewed	MYOC_MOUSE	Myocilin (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	Myoc Tigr	Mus musculus (Mouse)	490
O70631	reviewed	EST2C_RAT	Acylcarnitine hydrolase (ACH M1) (EC 3.1.1.28) (Carboxylic ester hydrolase) (EC 3.1.1.-)	Ces2c Ces2 Ces2l	Rattus norvegicus (Rat)	561
O73682	reviewed	VGFAA_DANRE	Vascular endothelial growth factor A-A (VEGF-A-A)	vegfaa vegf vegfa	Danio rerio (Zebrafish) (Brachydanio rerio)	188
O73683	reviewed	A4_DICFU	Amyloid-beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloid-beta precursor protein) [Cleaved into: Amyloid-beta protein (A-beta) (APP-beta)]	app	Dichotomyctere fluviatilis (Green pufferfish) (Tetraodon fluviatilis)	780
O73754	reviewed	GREM1_XENLA	Gremlin-1 (Cysteine knot superfamily 1, BMP antagonist 1)	grem1 cktsf1b1	Xenopus laevis (African clawed frog)	182
O73755	reviewed	GREM1_CHICK	Gremlin-1	GREM1	Gallus gallus (Chicken)	184
O73791	reviewed	TIE2_DANRE	Angiopoietin-1 receptor (EC 2.7.10.1) (TEK tyrosine kinase, endothelial) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor Tie-2)	tek tie-2 tie2	Danio rerio (Zebrafish) (Brachydanio rerio)	1116
O73798	reviewed	IGF1R_XENLA	Insulin-like growth factor 1 receptor (xIGF-1R) (xIGFR) (EC 2.7.10.1) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	igf1r	Xenopus laevis (African clawed frog)	1358
O73864	reviewed	WNT11_DANRE	Protein Wnt-11	wnt11 wnt-11	Danio rerio (Zebrafish) (Brachydanio rerio)	354
O73874	reviewed	EFNB2_DANRE	Ephrin-B2a	efnb2a efnb2	Danio rerio (Zebrafish) (Brachydanio rerio)	332
O73875	reviewed	EPB4A_DANRE	Ephrin type-B receptor 4a (EC 2.7.10.1) (Eph receptor B4a) (Eph-like receptor tyrosine kinase rtk5)	ephb4a rtk5	Danio rerio (Zebrafish) (Brachydanio rerio)	987
O73878	reviewed	EPB4B_DANRE	Ephrin type-B receptor 4b (EC 2.7.10.1) (Eph receptor B4b) (Eph-like receptor tyrosine kinase rtk8)	ephb4b rtk8	Danio rerio (Zebrafish) (Brachydanio rerio)	976
O75015	reviewed	FCG3B_HUMAN	Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta) (CD16-I) (Fc-gamma RIII) (Fc-gamma RIIIb) (FcRIII) (FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b)	FCGR3B CD16B FCG3 FCGR3 IGFR3	Homo sapiens (Human)	233
O75019	reviewed	LIRA1_HUMAN	Leukocyte immunoglobulin-like receptor subfamily A member 1 (CD85 antigen-like family member I) (Leukocyte immunoglobulin-like receptor 6) (LIR-6) (CD antigen CD85i)	LILRA1 LIR6	Homo sapiens (Human)	489
O75022	reviewed	LIRB3_HUMAN	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a)	LILRB3 ILT5 LIR3	Homo sapiens (Human)	631
O75023	reviewed	LIRB5_HUMAN	Leukocyte immunoglobulin-like receptor subfamily B member 5 (CD85 antigen-like family member C) (Leukocyte immunoglobulin-like receptor 8) (LIR-8) (CD antigen CD85c)	LILRB5 LIR8	Homo sapiens (Human)	590
O75051	reviewed	PLXA2_HUMAN	Plexin-A2 (Semaphorin receptor OCT)	PLXNA2 KIAA0463 OCT PLXN2 UNQ209/PRO235	Homo sapiens (Human)	1894
O75054	reviewed	IGSF3_HUMAN	Immunoglobulin superfamily member 3 (IgSF3) (Glu-Trp-Ile EWI motif-containing protein 3) (EWI-3)	IGSF3 EWI3 KIAA0466	Homo sapiens (Human)	1194
O75074	reviewed	LRP3_HUMAN	Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (hLRp105)	LRP3	Homo sapiens (Human)	770
O75077	reviewed	ADA23_HUMAN	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)	ADAM23 MDC3	Homo sapiens (Human)	832
O75078	reviewed	ADA11_HUMAN	Disintegrin and metalloproteinase domain-containing protein 11 (ADAM 11) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein) (MDC)	ADAM11 MDC	Homo sapiens (Human)	769
O75084	reviewed	FZD7_HUMAN	Frizzled-7 (Fz-7) (hFz7) (FzE3)	FZD7	Homo sapiens (Human)	574
O75093	reviewed	SLIT1_HUMAN	Slit homolog 1 protein (Slit-1) (Multiple epidermal growth factor-like domains protein 4) (Multiple EGF-like domains protein 4)	SLIT1 KIAA0813 MEGF4 SLIL1	Homo sapiens (Human)	1534
O75094	reviewed	SLIT3_HUMAN	Slit homolog 3 protein (Slit-3) (Multiple epidermal growth factor-like domains protein 5) (Multiple EGF-like domains protein 5)	SLIT3 KIAA0814 MEGF5 SLIL2 UNQ691/PRO1336	Homo sapiens (Human)	1523
O75095	reviewed	MEGF6_HUMAN	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	MEGF6 EGFL3 KIAA0815	Homo sapiens (Human)	1541
O75096	reviewed	LRP4_HUMAN	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	LRP4 KIAA0816 LRP10 MEGF7	Homo sapiens (Human)	1905
O75121	reviewed	MFA3L_HUMAN	Microfibrillar-associated protein 3-like (Testis development protein NYD-SP9)	MFAP3L KIAA0626 HSD-39 HSD39	Homo sapiens (Human)	409
O75129	reviewed	ASTN2_HUMAN	Astrotactin-2	ASTN2 KIAA0634	Homo sapiens (Human)	1339
O75144	reviewed	ICOSL_HUMAN	ICOS ligand (B7 homolog 2) (B7-H2) (B7-like protein Gl50) (B7-related protein 1) (B7RP-1) (CD antigen CD275)	ICOSLG B7H2 B7RP1 ICOSL KIAA0653	Homo sapiens (Human)	302
O75173	reviewed	ATS4_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	ADAMTS4 KIAA0688 UNQ769/PRO1563	Homo sapiens (Human)	837
O75197	reviewed	LRP5_HUMAN	Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7)	LRP5 LR3 LRP7	Homo sapiens (Human)	1615
O75309	reviewed	CAD16_HUMAN	Cadherin-16 (Kidney-specific cadherin) (Ksp-cadherin)	CDH16 UNQ695/PRO1340	Homo sapiens (Human)	829
O75311	reviewed	GLRA3_HUMAN	Glycine receptor subunit alpha-3	GLRA3	Homo sapiens (Human)	464
O75326	reviewed	SEM7A_HUMAN	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	SEMA7A CD108 SEMAL	Homo sapiens (Human)	666
O75339	reviewed	CILP1_HUMAN	Cartilage intermediate layer protein 1 (CILP-1) (Cartilage intermediate-layer protein) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2]	CILP UNQ602/PRO1188	Homo sapiens (Human)	1184
O75356	reviewed	ENTP5_HUMAN	Nucleoside diphosphate phosphatase ENTPD5 (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Ectonucleoside triphosphate diphosphohydrolase 5) (NTPDase 5) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Inosine diphosphate phosphatase ENTPD5) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	ENTPD5 CD39L4 PCPH	Homo sapiens (Human)	428
O75443	reviewed	TECTA_HUMAN	Alpha-tectorin	TECTA	Homo sapiens (Human)	2155
O75445	reviewed	USH2A_HUMAN	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)	USH2A	Homo sapiens (Human)	5202
O75460	reviewed	ERN1_HUMAN	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN1 IRE1	Homo sapiens (Human)	977
