Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P55264	reviewed	ADK_MOUSE	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase) (N6,N6-dimethyladenosine kinase) (EC 2.7.1.-) (N6-isopentenyladenosine kinase) (EC 2.7.1.-) (N6-methyladenosine kinase) (EC 2.7.1.-)	Adk	Mus musculus (Mouse)	361
P55265	reviewed	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226
P55266	reviewed	DSRAD_RAT	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37)	Adar Dsrad	Rattus norvegicus (Rat)	1175
P55267	reviewed	HBAC_AQUCT	Hemoglobin subunit alpha-C (Alpha-C-globin) (Hemoglobin alpha-C chain)		Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	142
P55270	reviewed	SCNNA_BOVIN	Epithelial sodium channel subunit alpha (Alpha-ENaC) (Epithelial Na(+) channel subunit alpha) (Alpha-NaCH) (Amiloride-sensitive sodium channel subunit alpha) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA)	SCNN1A	Bos taurus (Bovine)	650
P55271	reviewed	CDN2B_MOUSE	Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b)	Cdkn2b	Mus musculus (Mouse)	130
P55272	reviewed	CDN2B_RAT	Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b)	Cdkn2b Ink4	Rattus norvegicus (Rat)	130
P55273	reviewed	CDN2D_HUMAN	Cyclin-dependent kinase 4 inhibitor D (p19-INK4d)	CDKN2D	Homo sapiens (Human)	166
P55316	reviewed	FOXG1_HUMAN	Forkhead box protein G1 (Brain factor 1) (BF-1) (BF1) (Brain factor 2) (BF-2) (BF2) (hBF-2) (Forkhead box protein G1A) (Forkhead box protein G1B) (Forkhead box protein G1C) (Forkhead-related protein FKHL1) (HFK1) (Forkhead-related protein FKHL2) (HFK2) (Forkhead-related protein FKHL3) (HFK3)	FOXG1 FKH2 FKHL1 FKHL2 FKHL3 FKHL4 FOXG1A FOXG1B FOXG1C	Homo sapiens (Human)	489
P55317	reviewed	FOXA1_HUMAN	Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A)	FOXA1 HNF3A TCF3A	Homo sapiens (Human)	472
P55318	reviewed	FOXA3_HUMAN	Hepatocyte nuclear factor 3-gamma (HNF-3-gamma) (HNF-3G) (Fork head-related protein FKH H3) (Forkhead box protein A3) (Transcription factor 3G) (TCF-3G)	FOXA3 HNF3G TCF3G	Homo sapiens (Human)	350
P55327	reviewed	TPD52_HUMAN	Tumor protein D52 (Protein N8)	TPD52	Homo sapiens (Human)	224
P55344	reviewed	LMIP_HUMAN	Lens fiber membrane intrinsic protein (MP18) (MP19) (MP20)	LIM2	Homo sapiens (Human)	173
P55345	reviewed	ANM2_HUMAN	Protein arginine N-methyltransferase 2 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT2)	PRMT2 HMT1 HRMT1L1	Homo sapiens (Human)	433
P55347	reviewed	PKNX1_HUMAN	Homeobox protein PKNOX1 (Homeobox protein PREP-1) (PBX/knotted homeobox 1)	PKNOX1 PREP1	Homo sapiens (Human)	436
P55735	reviewed	SEC13_HUMAN	Protein SEC13 homolog (GATOR2 complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)	SEC13 D3S1231E SEC13A SEC13L1 SEC13R	Homo sapiens (Human)	322
P55736	reviewed	BLVRB_AQUCT	Flavin reductase (NADPH) (FR) (EC 1.5.1.30) (Biliverdin reductase B) (BVR-B) (Biliverdin-IX beta-reductase) (EC 1.3.1.-) (NADPH-dehydrogenase) (NADPH-dependent diaphorase) (NADPH-methemoglobin reductase) (S-nitroso-CoA-assisted nitrosyltransferase) (SNO-CoA-assisted nitrosyltransferase) (EC 2.6.99.-)	BLVRB SCAN	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	24
P55769	reviewed	NH2L1_HUMAN	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	SNU13 NHP2L1	Homo sapiens (Human)	128
P55770	reviewed	NH2L1_RAT	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	Snu13 Nhp2l1	Rattus norvegicus (Rat)	128
P55771	reviewed	PAX9_HUMAN	Paired box protein Pax-9	PAX9	Homo sapiens (Human)	341
P55772	reviewed	ENTP1_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 1 (NTPDase 1) (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)	Entpd1 Cd39	Mus musculus (Mouse)	510
P55786	reviewed	PSA_HUMAN	Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	NPEPPS PSA	Homo sapiens (Human)	919
P55789	reviewed	ALR_HUMAN	FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin)	GFER ALR HERV1 HPO	Homo sapiens (Human)	205
P55795	reviewed	HNRH2_HUMAN	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	HNRNPH2 FTP3 HNRPH2	Homo sapiens (Human)	449
P55809	reviewed	SCOT1_HUMAN	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (SCOT) (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s) (Succinyl-CoA:3-oxoacid CoA transferase)	OXCT1 OXCT SCOT	Homo sapiens (Human)	520
P55821	reviewed	STMN2_MOUSE	Stathmin-2 (Superior cervical ganglion-10 protein) (Protein SCG10)	Stmn2 Scg10 Scgn10 Stmb2	Mus musculus (Mouse)	179
P55823	reviewed	EF2_RABIT	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2	Oryctolagus cuniculus (Rabbit)	857
P55824	reviewed	FAF_DROME	Ubiquitinyl hydrolase FAF (EC 3.4.19.12) (Protein fat facets) (Ubiquitin thioesterase FAF) (Ubiquitin-specific-processing protease FAF) (Deubiquitinating enzyme FAF)	faf CG1945	Drosophila melanogaster (Fruit fly)	2778
P55830	reviewed	RS3A_DROME	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (C3 protein)	RpS3A C3 M(4)101 CG2168	Drosophila melanogaster (Fruit fly)	268
P55851	reviewed	UCP2_HUMAN	Dicarboxylate carrier SLC25A8 (Mitochondrial uncoupling protein 2) (UCP 2) (Solute carrier family 25 member 8) (UCPH)	UCP2 SLC25A8	Homo sapiens (Human)	309
P55853	reviewed	SUMO_CAEEL	Small ubiquitin-related modifier (SUMO) (Ubiquitin-like protein SMT3)	smo-1 smt3 sumo K12C11.2	Caenorhabditis elegans	91
P55854	reviewed	SUMO3_HUMAN	Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A) (Smt3A)	SUMO3 SMT3A SMT3H1	Homo sapiens (Human)	103
P55861	reviewed	MCM2_XENLA	DNA replication licensing factor mcm2 (EC 3.6.4.12) (BM28-homolog) (Minichromosome maintenance protein 2) (xMCM2) (p112)	mcm2	Xenopus laevis (African clawed frog)	886
P55862	reviewed	MCM5A_XENLA	DNA replication licensing factor mcm5-A (xMCM5-A) (EC 3.6.4.12) (CDC46 homolog A) (xCDC46-A) (CDC46p) (p92)	mcm5-a cdc46-a	Xenopus laevis (African clawed frog)	735
P55863	reviewed	SOX3A_XENLA	Transcription factor Sox-3-A (xSox3) (xSox-B1)	sox3-a sox3	Xenopus laevis (African clawed frog)	309
P55884	reviewed	EIF3B_HUMAN	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	EIF3B EIF3S9	Homo sapiens (Human)	814
P55895	reviewed	RAG2_HUMAN	V(D)J recombination-activating protein 2 (RAG-2)	RAG2	Homo sapiens (Human)	527
P55896	reviewed	KAX37_ORTSC	Potassium channel toxin alpha-KTx 3.7 (OsK-1) (OsK1)		Orthochirus scrobiculosus (Central Asian scorpion)	38
P55916	reviewed	UCP3_HUMAN	Putative mitochondrial transporter UCP3 (Solute carrier family 25 member 9) (Uncoupling protein-3) (UCP 3)	UCP3 SLC25A9	Homo sapiens (Human)	312
P55917	reviewed	CXA8_SHEEP	Gap junction alpha-8 protein (Connexin-49) (Cx49) (Lens fiber protein MP70) (MP38) (MP64)	GJA8	Ovis aries (Sheep)	440
P55926	reviewed	ASIC1_RAT	Acid-sensing ion channel 1 (ASIC1) (Acid-sensing ionic channel) (ASIC) (Amiloride-sensitive cation channel 2, neuronal) (Brain sodium channel 2)	Asic1 Accn2 Bnac2	Rattus norvegicus (Rat)	526
P55931	reviewed	ETFD_PIG	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)	ETFDH	Sus scrofa (Pig)	617
P55944	reviewed	MT3_PIG	Metallothionein-3 (MT-3) (Growth inhibitory factor) (GIF) (Metallothionein-III) (MT-III)	MT3	Sus scrofa (Pig)	68
P55957	reviewed	BID_HUMAN	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID) (Cytochrome c Releasing Factor) (CCRF) (Truncated Bid) (tBid); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	BID	Homo sapiens (Human)	195
P55965	reviewed	BYN_DROME	T-related protein (Trp) (Protein brachyenteron)	byn trg CG7260	Drosophila melanogaster (Fruit fly)	697
P56079	reviewed	CDS_DROME	Phosphatidate cytidylyltransferase, photoreceptor-specific (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	Cds CdsA CG7962	Drosophila melanogaster (Fruit fly)	447
P56134	reviewed	ATPK_HUMAN	ATP synthase F(0) complex subunit f, mitochondrial (ATP synthase membrane subunit f)	ATP5MF ATP5J2 ATP5JL	Homo sapiens (Human)	94
P56177	reviewed	DLX1_HUMAN	Homeobox protein DLX-1	DLX1	Homo sapiens (Human)	255
P56178	reviewed	DLX5_HUMAN	Homeobox protein DLX-5	DLX5	Homo sapiens (Human)	289
P56180	reviewed	TPTE_HUMAN	Putative tyrosine-protein phosphatase TPTE (EC 3.1.3.48) (Cancer/testis antigen 44) (CT44) (Transmembrane phosphatase with tensin homology) (Tumor antigen BJ-HCC-5)	TPTE	Homo sapiens (Human)	551
P56181	reviewed	NDUV3_HUMAN	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit) (Renal carcinoma antigen NY-REN-4)	NDUFV3	Homo sapiens (Human)	108
P56182	reviewed	RRP1_HUMAN	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	RRP1 D21S2056E NNP1 NOP52 RRP1A	Homo sapiens (Human)	461
P56192	reviewed	SYMC_HUMAN	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MARS1 MARS	Homo sapiens (Human)	900
P56198	reviewed	CIDEC_MOUSE	Lipid transferase CIDEC (Cell death-inducing DFFA-like effector protein C) (Fat-specific protein FSP27)	Cidec Fsp27	Mus musculus (Mouse)	239
P56207	reviewed	TO1A_HADVE	Omega-hexatoxin-Hv1a (Omega-HXTX-Hv1a) (Omega-atracotoxin-Hv1a) (Omega-ACTX-Hv1) (Omega-AcTx-Hv1a) (Omega-atracotoxin-Hv1) (Omega/kappa-atracotoxin-Hv1a) (Omega/kappa-HXTX-Hv1a)		Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus)	37
P56211	reviewed	ARP19_HUMAN	cAMP-regulated phosphoprotein 19 (ARPP-19)	ARPP19	Homo sapiens (Human)	112
P56212	reviewed	ARP19_MOUSE	cAMP-regulated phosphoprotein 19 (ARPP-19)	Arpp19	Mus musculus (Mouse)	112
P56213	reviewed	ALR_MOUSE	FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration)	Gfer Alr MNCb-0663	Mus musculus (Mouse)	198
P56222	reviewed	PO3F2_RAT	POU domain, class 3, transcription factor 2 (Brain-specific homeobox/POU domain protein 2) (Brain-2) (Brn-2) (Nervous system-specific octamer-binding transcription factor N-Oct-3) (Octamer-binding protein 7) (Oct-7) (Octamer-binding transcription factor 7) (OTF-7)	Pou3f2 Brn2 Otf7	Rattus norvegicus (Rat)	445
P56224	reviewed	P3F3A_DANRE	POU domain, class 3, transcription factor 3-A (Brain-specific homeobox/POU domain protein 1.1) (Brain-1.1) (zfBrn-1.1) (Class III POU domain protein taichi) (POU domain protein 12) (ZP-12)	pou3f3a brn-1.1 brn1.1 pou12 tai-ji zp12 zp12pou si:dkeyp-118h3.2	Danio rerio (Zebrafish) (Brachydanio rerio)	438
P56261	reviewed	CEBPE_RAT	CCAAT/enhancer-binding protein epsilon (C/EBP epsilon) (C/EBP-related protein 1)	Cebpe Crp1	Rattus norvegicus (Rat)	281
P56270	reviewed	MAZ_HUMAN	Myc-associated zinc finger protein (MAZI) (Pur-1) (Purine-binding transcription factor) (Serum amyloid A-activating factor-1) (SAF-1) (Transcription factor Zif87) (ZF87) (Zinc finger protein 801)	MAZ ZNF801	Homo sapiens (Human)	477
P56279	reviewed	TCL1A_HUMAN	T-cell leukemia/lymphoma protein 1A (Oncogene TCL-1) (Oncogene TCL1) (Protein p14 TCL1)	TCL1A TCL1	Homo sapiens (Human)	114
P56282	reviewed	DPOE2_HUMAN	DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B)	POLE2 DPE2	Homo sapiens (Human)	527
P56371	reviewed	RAB4A_MOUSE	Ras-related protein Rab-4A (EC 3.6.5.2)	Rab4a Rab4	Mus musculus (Mouse)	218
P56373	reviewed	P2RX3_HUMAN	P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)	P2RX3	Homo sapiens (Human)	397
P56377	reviewed	AP1S2_HUMAN	AP-1 complex subunit sigma-2 (Adaptor protein complex AP-1 subunit sigma-1B) (Adaptor-related protein complex 1 subunit sigma-1B) (Clathrin assembly protein complex 1 sigma-1B small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit) (Sigma 1B subunit of AP-1 clathrin) (Sigma-adaptin 1B) (Sigma1B-adaptin)	AP1S2 DC22	Homo sapiens (Human)	157
P56378	reviewed	ATP68_HUMAN	ATP synthase F(0) complex subunit j, mitochondrial (6.8 kDa mitochondrial proteolipid protein) (MLQ) (ATP synthase membrane subunit 6.8PL)	ATP5MJ ATP5MPL C14orf2 MP68 PRO1574	Homo sapiens (Human)	58
P56381	reviewed	ATP5E_HUMAN	ATP synthase F(1) complex subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)	ATP5F1E ATP5E	Homo sapiens (Human)	51
P56383	reviewed	AT5G2_MOUSE	ATP synthase F(0) complex subunit C2, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 2) (ATP synthase proteolipid P2) (ATPase protein 9) (ATPase subunit c)	Atp5mc2 Atp5g2	Mus musculus (Mouse)	146
P56384	reviewed	AT5G3_MOUSE	ATP synthase F(0) complex subunit C3, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 3) (ATP synthase proteolipid P3) (ATPase protein 9) (ATPase subunit c)	Atp5mc3 Atp5g3	Mus musculus (Mouse)	141
P56385	reviewed	ATP5I_HUMAN	ATP synthase F(0) complex subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e) [Cleaved into: ATP synthase F(0) complex subunit e, mitochondrial, N-terminally processed]	ATP5ME ATP5I ATP5K	Homo sapiens (Human)	69
P56389	reviewed	CDD_MOUSE	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)	Cda Cdd	Mus musculus (Mouse)	146
P56390	reviewed	CKS2_MOUSE	Cyclin-dependent kinases regulatory subunit 2 (CKS-2)	Cks2	Mus musculus (Mouse)	79
P56392	reviewed	CX7A1_MOUSE	Cytochrome c oxidase subunit 7A1, mitochondrial (Cytochrome c oxidase subunit VIIa-heart) (Cytochrome c oxidase subunit VIIa-H) (Cytochrome c oxidase subunit VIIa-muscle) (Cytochrome c oxidase subunit VIIa-M)	Cox7a1 Cox7a Cox7ah	Mus musculus (Mouse)	80
P56393	reviewed	COX7B_MOUSE	Cytochrome c oxidase subunit 7B, mitochondrial (Cytochrome c oxidase polypeptide VIIb)	Cox7b	Mus musculus (Mouse)	80
P56394	reviewed	COX17_MOUSE	Cytochrome c oxidase copper chaperone	Cox17 Cox17a	Mus musculus (Mouse)	63
P56395	reviewed	CYB5_MOUSE	Cytochrome b5	Cyb5a Cyb5	Mus musculus (Mouse)	134
P56399	reviewed	UBP5_MOUSE	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	Usp5 Isot	Mus musculus (Mouse)	858
P56401	reviewed	AQP1_SHEEP	Aquaporin-1 (AQP-1) (Aquaporin-CHIP)	AQP1	Ovis aries (Sheep)	272
P56402	reviewed	AQP2_MOUSE	Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct)	Aqp2 cph	Mus musculus (Mouse)	271
P56403	reviewed	AQP7_RAT	Aquaporin-7 (AQP-7) (Aquaglyceroporin-7)	Aqp7	Rattus norvegicus (Rat)	269
P56404	reviewed	AQP8_MOUSE	Aquaporin-8 (AQP-8)	Aqp8	Mus musculus (Mouse)	261
P56405	reviewed	AQP8_RAT	Aquaporin-8 (AQP-8)	Aqp8	Rattus norvegicus (Rat)	263
P56423	reviewed	P53_MACFA	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 P53	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	393
P56424	reviewed	P53_MACMU	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 P53	Macaca mulatta (Rhesus macaque)	393
P56432	reviewed	JUN_PIG	Transcription factor Jun (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (Transcription factor AP-1 subunit Jun) (V-jun avian sarcoma virus 17 oncogene homolog)	JUN	Sus scrofa (Pig)	331
P56433	reviewed	FUT5_PANTR	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 (EC 2.4.1.152) (3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT5) (EC 2.4.1.65) (Fucosyltransferase 5) (Fucosyltransferase V) (Fuc-TV) (FucT-V) (Galactoside 3-L-fucosyltransferase)	FUT5	Pan troglodytes (Chimpanzee)	374
P56434	reviewed	FUT6_PANTR	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6 (EC 2.4.1.152) (Fucosyltransferase 6) (Fucosyltransferase VI) (Fuc-TVI) (FucT-VI) (Galactoside 3-L-fucosyltransferase)	FUT6	Pan troglodytes (Chimpanzee)	359
P56439	reviewed	CCR5_GORGO	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CD antigen CD195)	CCR5 CMKBR5	Gorilla gorilla gorilla (Western lowland gorilla)	352
P56440	reviewed	CCR5_PANTR	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CD antigen CD195)	CCR5 CMKBR5	Pan troglodytes (Chimpanzee)	352
P56450	reviewed	MC4R_MOUSE	Melanocortin receptor 4 (MC4-R)	Mc4r	Mus musculus (Mouse)	332
P56470	reviewed	LEG4_HUMAN	Galectin-4 (Gal-4) (Antigen NY-CO-27) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)	LGALS4	Homo sapiens (Human)	323
P56477	reviewed	IRF5_MOUSE	Interferon regulatory factor 5 (IRF-5)	Irf5	Mus musculus (Mouse)	497
P56480	reviewed	ATPB_MOUSE	ATP synthase F(1) complex catalytic subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	Atp5f1b Atp5b	Mus musculus (Mouse)	529
P56481	reviewed	GASR_MOUSE	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	Cckbr	Mus musculus (Mouse)	453
P56484	reviewed	CCR8_MOUSE	C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CD antigen CDw198)	Ccr8 Cmkbr8 Ter1	Mus musculus (Mouse)	353
P56485	reviewed	ACKR3_MOUSE	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G protein-coupled receptor RDC1 homolog) (RDC-1)	Ackr3 Cmkor1 Cxcr7 Rdc1	Mus musculus (Mouse)	362
P56489	reviewed	ACM1_MACMU	Muscarinic acetylcholine receptor M1	CHRM1	Macaca mulatta (Rhesus macaque)	460
P56491	reviewed	CXCR4_PAPAN	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (Fusin) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	Papio anubis (Olive baboon)	352
P56496	reviewed	5HT1B_SPAEH	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B)	HTR1B 5HT1B	Spalax ehrenbergi (Middle East blind mole rat) (Nannospalax ehrenbergi)	386
P56498	reviewed	CXCR4_FELCA	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (Fusin) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	Felis catus (Cat) (Felis silvestris catus)	353
P56499	reviewed	UCP3_RAT	Putative mitochondrial transporter UCP3 (Solute carrier family 25 member 9) (Uncoupling protein-3) (UCP 3)	Ucp3 Slc25a9	Rattus norvegicus (Rat)	308
P56500	reviewed	UCP2_RAT	Dicarboxylate carrier UCP2 (Mitochondrial uncoupling protein 2) (UCP 2) (Solute carrier family 25 member 8)	Ucp2 Slc25a8	Rattus norvegicus (Rat)	309
P56501	reviewed	UCP3_MOUSE	Putative mitochondrial transporter UCP3 (Solute carrier family 25 member 9) (Uncoupling protein 3) (UCP 3)	Ucp3 Slc25a9	Mus musculus (Mouse)	308
P56517	reviewed	HDAC1_CHICK	Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein deacylase HDAC1) (EC 3.5.1.-)	HDAC1 HDAC1A	Gallus gallus (Chicken)	480
P56519	reviewed	HDAC2_CHICK	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-)	HDAC2	Gallus gallus (Chicken)	488
P56520	reviewed	HDAC3_CHICK	Histone deacetylase 3 (HD3) (EC 3.5.1.98) (Protein deacetylase HDAC3) (EC 3.5.1.-) (Protein deacylase HDAC3) (EC 3.5.1.-)	HDAC3	Gallus gallus (Chicken)	428
P56522	reviewed	ADRO_RAT	NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)	Fdxr	Rattus norvegicus (Rat)	494
P56524	reviewed	HDAC4_HUMAN	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	HDAC4 KIAA0288	Homo sapiens (Human)	1084
P56528	reviewed	CD38_MOUSE	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (I-19) (NIM-R5 antigen) (CD antigen CD38)	Cd38	Mus musculus (Mouse)	304
P56536	reviewed	KIF5C_RAT	Kinesin heavy chain isoform 5C (EC 3.6.4.-) (Kinesin heavy chain neuron-specific 2) (Kinesin-1)	Kif5c Nkhc2	Rattus norvegicus (Rat)	955
P56537	reviewed	IF6_HUMAN	Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	EIF6 EIF3A ITGB4BP OK/SW-cl.27	Homo sapiens (Human)	245
P56539	reviewed	CAV3_HUMAN	Caveolin-3 (M-caveolin)	CAV3	Homo sapiens (Human)	151
P56545	reviewed	CTBP2_HUMAN	C-terminal-binding protein 2 (CtBP2)	CTBP2	Homo sapiens (Human)	445
P56546	reviewed	CTBP2_MOUSE	C-terminal-binding protein 2 (CtBP2)	Ctbp2	Mus musculus (Mouse)	445
P56556	reviewed	NDUA6_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (LYR motif-containing protein 6) (NADH-ubiquinone oxidoreductase B14 subunit)	NDUFA6 LYRM6 NADHB14	Homo sapiens (Human)	128
P56557	reviewed	TM50B_HUMAN	Transmembrane protein 50B (HCV p7-trans-regulated protein 3)	TMEM50B C21orf4 UNQ167/PRO193	Homo sapiens (Human)	158
P56558	reviewed	OGT1_RAT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	Ogt	Rattus norvegicus (Rat)	1036
P56559	reviewed	ARL4C_HUMAN	ADP-ribosylation factor-like protein 4C (ADP-ribosylation factor-like protein 7) (ADP-ribosylation factor-like protein LAK)	ARL4C ARL7	Homo sapiens (Human)	192
P56560	reviewed	AOFB_BOVIN	Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	MAOB	Bos taurus (Bovine)	520
